거래일자,공백,일련번호,거래시각,상품명,거래처명,대표자명,구분,매입단가,판매단가,수량
2023-01-03,1,1,10:00:48,버터링,강릉농협하나로마트정동점,강시우,1,655,0,62
2023-01-03,2,2,10:03:29,브라우니,강원양돈농협성덕하나로마트,갈성원,2,0,1000,68
2023-01-03,3,3,10:08:14,브라우니,삼척농협하나로마트미로점,경동율,2,0,1000,95
2023-01-03,4,4,10:13:37,심플(갑),토성농협하나로마트본점,강이찬,2,0,2300,61
2023-01-05,5,5,10:25:49,연양갱,동해삼척태백축협하나로마트제2판매장,견장혁,2,0,500,56
2023-01-06,6,6,10:27:18,(신)허쉬드링크,원덕농협하나로마트본점,개성현,2,0,800,60
2023-01-06,7,7,10:29:38,(신)허쉬드링크,동해삼척태백축협하나로마트본점,견준상,2,0,800,55
2023-01-07,8,8,10:32:30,인디고,강원양돈농협 본점하나로마트,간채민,1,1844,0,95
2023-01-08,9,9,10:37:12,(신)허쉬드링크,북강릉농협하나로마트연곡점,강연호,1,393,0,76
2023-01-09,10,10,10:40:24,순두유230ml,동해삼척태백축협하나로마트본점,견준상,1,614,0,89
2023-01-10,11,11,10:42:51,아카시아후레쉬,강릉농협하나로마트강동점,강원일,1,737,0,74
2023-01-12,12,12,10:42:54,디스플러스(갑),금강농협하나로마트죽왕점,강준일,1,1549,0,71
2023-01-12,13,13,10:43:02,화이트엔젤큐티,삼척농협하나로마트사직점,견동후,1,983,0,79
2023-01-13,14,14,10:45:33,입안가득초코칩,삼척농협하나로마트정라점,견선후,1,983,0,69
2023-01-15,15,15,10:48:40,미사랑,강원양돈농협 본점하나로마트,간채민,1,655,0,85
2023-01-15,16,16,10:54:31,에이스,강릉원예농협협동조합,가시율,1,1311,0,53
2023-01-15,17,17,10:55:14,빅썬사과,옥계농협하나로마트본점,강우찬,1,213,0,99
2023-01-16,18,18,10:59:01,에이스(소),묵호농협하나로마트부곡점,강준후,1,459,0,60
2023-01-16,19,19,11:03:31,빅썬사과,강릉축협하나로마트내곡점,갈은규,1,213,0,93
2023-01-17,20,20,11:03:41,미니자유시간,원덕농협하나로마트본점,개성현,1,1311,0,80
2023-01-17,21,21,11:03:57,브라우니,강원양돈농협 본점하나로마트,간채민,1,655,0,75
2023-01-17,22,22,11:04:30,레종후레시,토성농협하나로마트아야진점,강이황,1,1844,0,97
2023-01-17,23,23,11:05:25,자유시간,강릉축협하나로마트포남점,가진혁,1,327,0,73
2023-01-17,24,24,11:07:37,자연애통밀,삼척농협하나로마트정라점,견선후,1,786,0,88
2023-01-18,25,25,11:14:41,후렌치파이딸기,강릉농협하나로마트구정점,강영찬,1,1639,0,87
2023-01-18,26,26,11:15:31,컨디션,강릉농협하나로마트구정점,강영찬,1,1229,0,69
2023-01-19,27,27,11:17:52,순두유230ml,고성축협하나로마트거진점,강윤일,1,614,0,56
2023-01-19,28,28,11:26:56,바밤바,삼척농협하나로마트미로점,경동율,1,274,0,86
2023-01-20,29,29,11:27:47,신라면큰사발,토성농협하나로마트백촌점,강장우,1,532,0,97
2023-01-21,30,30,11:29:03,디스플러스(갑),동해농협하나로마트천곡점,강현호,1,1549,0,50
2023-01-21,31,31,11:29:17,버터링,동해농협하나로마트천곡점,강현호,1,655,0,92
2023-01-22,32,32,11:34:36,에이스,강릉축협하나로마트성남점,가지민,1,1311,0,86
2023-01-23,33,33,11:35:27,초코픽,삼척농협하나로마트정라점,견선후,1,524,0,72
2023-01-23,34,34,11:38:47,빅썬사과,강릉농협하나로마트강동점,강원일,1,213,0,63
2023-01-24,35,35,11:39:37,오미오미누룽지,강릉농협하나로마트 포남점,갈찬우,1,655,0,56
2023-01-24,36,36,11:45:12,심플(갑),묵호농협하나로마트본점,강진영,1,1696,0,95
2023-01-24,37,37,11:52:33,오예스,강원양돈농협 대학로하나로마트,갈준아,1,2098,0,69
2023-01-24,38,38,11:56:37,입안가득초코칩,거진농협하나로마트현내점,강이준,2,0,1500,79
2023-01-25,39,39,11:57:01,아카시아후레쉬,옥계농협하나로마트본점,강우찬,2,0,3000,56
2023-01-25,40,40,11:57:09,샤브레,원덕농협하나로마트본점,개성현,2,0,1200,88
